야	ᄋ ᅣ
여기	ᄋ ᅧ ᄀ ᅵ
있던	ᄋ ᅵ ᆮ ᄄ ᅥ ᆫ
내	ᄂ ᅢ
옷	ᄋ ᅩ ᆮ
못	ᄆ ᅩ ᆮ
봤어	ᄇ ᅪ ᄊ ᅥ
무슨	ᄆ ᅮ ᄉ ᅳ ᆫ
말하는	ᄆ ᅡ ᆯ ᄒ ᅡ ᄂ ᅳ ᆫ
건데	ᄀ ᅥ ᆫ ᄃ ᅦ
그거	ᄀ ᅳ ᄀ ᅥ
내가	ᄂ ᅢ ᄀ ᅡ
생일에	ᄉ ᅢ ᆼ ᄋ ᅵ ᄅ ᅦ
친구한테	ᄎ ᅵ ᆫ ᄀ ᅮ ᄒ ᅡ ᆫ ᄐ ᅦ
선물받은	ᄉ ᅥ ᆫ ᄆ ᅮ ᆯ ᄇ ᅡ ᄃ ᅳ ᆫ
원피스	ᄋ ᅯ ᆫ ᄑ ᅵ ᄉ ᅳ
선물	ᄉ ᅥ ᆫ ᄆ ᅮ ᆯ
받은	ᄇ ᅡ ᄃ ᅳ ᆫ
거	ᄀ ᅥ
그래	ᄀ ᅳ ᄅ ᅢ
그	ᄀ ᅳ
남색에	ᄂ ᅡ ᆷ ᄉ ᅢ ᄀ ᅦ
어깨	ᄋ ᅥ ᄁ ᅢ
부분에	ᄇ ᅮ ᄇ ᅮ ᄂ ᅦ
장식	ᄌ ᅡ ᆼ ᄉ ᅵ ᆨ
달린	ᄃ ᅡ ᆯ ᄅ ᅵ ᆫ
있잖아	ᄋ ᅵ ᆮ ᄍ ᅡ ᄂ ᅡ
아	ᄋ ᅡ
저번에	ᄌ ᅥ ᄇ ᅥ ᄂ ᅦ
한	ᄒ ᅡ ᆫ
번	ᄇ ᅥ ᆫ
입었어	ᄋ ᅵ ᄇ ᅥ ᄊ ᅥ
뭐	ᄆ ᅯ
그걸	ᄀ ᅳ ᄀ ᅥ ᆯ
니가	ᄂ ᅵ ᄀ ᅡ
왜	ᄋ ᅫ
입어	ᄋ ᅵ ᄇ ᅥ
아이	ᄋ ᅡ ᄋ ᅵ
좀	ᄌ ᅩ ᆷ
입은	ᄋ ᅵ ᄇ ᅳ ᆫ
것	ᄀ ᅥ ᆮ
가지고	ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
쩨쩨하게	ᄍ ᅦ ᄍ ᅦ ᄒ ᅡ ᄀ ᅦ
그러냐	ᄀ ᅳ ᄅ ᅥ ᄂ ᅣ
허락도	ᄒ ᅥ ᄅ ᅡ ᆨ ᄄ ᅩ
