씨	ᄊ ᅵ
다시	ᄃ ᅡ ᄉ ᅵ
이영일	ᄋ ᅵ ᄋ ᅧ ᆼ ᄋ ᅵ ᆯ
동화	ᄃ ᅩ ᆼ ᄒ ᅪ
경제	ᄀ ᅧ ᆼ ᄌ ᅦ
노력	ᄂ ᅩ ᄅ ᅧ ᆨ
없이	ᄋ ᅥ ᆸ ᄊ ᅵ
공짜로	ᄀ ᅩ ᆼ ᄍ ᅡ ᄅ ᅩ
얻겠다고	ᄋ ᅥ ᆮ ᄁ ᅦ ᆮ ᄄ ᅡ ᄀ ᅩ
불로소득	ᄇ ᅮ ᆯ ᄅ ᅩ ᄉ ᅩ ᄃ ᅳ ᆨ
감나무	ᄀ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ
밑에	ᄆ ᅵ ᄐ ᅦ
누워	ᄂ ᅮ ᄋ ᅯ
입을	ᄋ ᅵ ᄇ ᅳ ᆯ
벌려	ᄇ ᅥ ᆯ ᄅ ᅧ
홍시를	ᄒ ᅩ ᆼ ᄉ ᅵ ᄅ ᅳ ᆯ
먹겠다고	ᄆ ᅥ ᆨ ᄁ ᅦ ᆮ ᄄ ᅡ ᄀ ᅩ
하늘은	ᄒ ᅡ ᄂ ᅳ ᄅ ᅳ ᆫ
더	ᄃ ᅥ
높고	ᄂ ᅩ ᆸ ᄁ ᅩ
햇살이	ᄒ ᅢ ᄊ ᅡ ᄅ ᅵ
따가운	ᄄ ᅡ ᄀ ᅡ ᄋ ᅮ ᆫ
가을	ᄀ ᅡ ᄋ ᅳ ᆯ
날이었어요	ᄂ ᅡ ᄅ ᅵ ᄋ ᅥ ᄊ ᅥ ᄋ ᅭ
아빠와	ᄋ ᅡ ᄈ ᅡ ᄋ ᅪ
함께	ᄒ ᅡ ᆷ ᄁ ᅦ
시골	ᄉ ᅵ ᄀ ᅩ ᆯ
나들이를	ᄂ ᅡ ᄃ ᅳ ᄅ ᅵ ᄅ ᅳ ᆯ
